USSA > Wed Jul  9 09:25:16 | NOTICE  | reason=[1], oldCh->newCh=[1]->[1], oldBw->newBw=[20MHz]->[20MHz], oldTxPower->newTxPower=[20.000000]->[12.000000]
USSA > Wed Jul  9 09:25:25 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Wed Jul  9 09:25:44 | NOTICE  | reported client=[2e:55:b9:42:06:8a] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 09:25:47 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 09:25:57 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Wed Jul  9 09:25:58 | NOTICE  | reported client=[2e:55:b9:42:06:8a] assoc on vap=[rai4]
USSA > Wed Jul  9 09:27:01 | NOTICE  | reason=[1], oldCh->newCh=[1]->[6], oldBw->newBw=[20MHz]->[20MHz], oldTxPower->newTxPower=[12.000000]->[12.000000]
USSA > Wed Jul  9 09:27:01 | NOTICE  | reason=[1], oldCh->newCh=[36]->[153], oldBw->newBw=[80MHz]->[80MHz], oldTxPower->newTxPower=[18.000000]->[18.000000]
USSA > Wed Jul  9 09:35:54 | NOTICE  | reported client=[2e:55:b9:42:06:8a] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 09:38:52 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[rai0]
USSA > Wed Jul  9 09:42:55 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[1]
USSA > Wed Jul  9 09:47:42 | NOTICE  | reason=[1], oldCh->newCh=[6]->[1], oldBw->newBw=[20MHz]->[20MHz], oldTxPower->newTxPower=[12.000000]->[12.000000]
USSA > Wed Jul  9 09:51:47 | NOTICE  | reason=[1], oldCh->newCh=[1]->[11], oldBw->newBw=[20MHz]->[20MHz], oldTxPower->newTxPower=[12.000000]->[12.000000]
USSA > Wed Jul  9 09:52:45 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul  9 09:54:35 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul  9 09:54:35 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[rai0]
USSA > Wed Jul  9 10:00:18 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul  9 10:10:04 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[rai0]
USSA > Wed Jul  9 10:11:18 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul  9 10:13:59 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[rai0]
USSA > Wed Jul  9 10:39:15 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai0], reason code=[1]
USSA > Wed Jul  9 10:39:24 | NOTICE  | reason=[1], oldCh->newCh=[11]->[1], oldBw->newBw=[20MHz]->[20MHz], oldTxPower->newTxPower=[12.000000]->[12.000000]
USSA > Wed Jul  9 10:39:24 | NOTICE  | reason=[1], oldCh->newCh=[153]->[56], oldBw->newBw=[80MHz]->[80MHz], oldTxPower->newTxPower=[18.000000]->[18.000000]
USSA > Wed Jul  9 10:39:29 | NOTICE  | reason=[1], oldCh->newCh=[1]->[11], oldBw->newBw=[20MHz]->[20MHz], oldTxPower->newTxPower=[12.000000]->[12.000000]
USSA > Wed Jul  9 10:39:33 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[ra0]
USSA > Wed Jul  9 10:39:33 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[ra0], reason code=[1]
