USSA > Fri Jul 07 08:00:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Fri Jul 07 08:04:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[15]
USSA > Fri Jul 07 08:06:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai0]
USSA > Fri Jul 07 08:10:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai0], reason code=[1]
USSA > Fri Jul 07 08:15:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai4]
USSA > Fri Jul 07 09:15:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai4], reason code=[4]
USSA > Fri Jul 07 09:20:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai4]
USSA > Fri Jul 07 09:30:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai4], reason code=[15]
USSA > Fri Jul 07 09:33:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Fri Jul 07 09:36:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[1]
USSA > Fri Jul 07 09:41:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai0]
USSA > Fri Jul 07 09:56:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai0], reason code=[1]
USSA > Fri Jul 07 09:59:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai4]
USSA > Fri Jul 07 10:22:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai4], reason code=[3]
USSA > Fri Jul 07 10:27:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[rai4]
USSA > Fri Jul 07 11:50:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai4], reason code=[5]
USSA > Fri Jul 07 11:54:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] assoc on vap=[rai0]
USSA > Fri Jul 07 13:37:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] disassoc on vap=[rai0], reason code=[5]
USSA > Fri Jul 07 13:41:00 | NOTICE  | reason=[2], oldCh->newCh=[4]->[1], oldBw->newBw=[80MHz]->[80MHz], oldTxPower->newTxPower=[13.575434]->[17.600205]
USSA > Fri Jul 07 13:43:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai4]
USSA > Fri Jul 07 14:02:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai4], reason code=[5]
USSA > Fri Jul 07 14:06:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[rai4]
USSA > Fri Jul 07 15:52:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai4], reason code=[5]
USSA > Fri Jul 07 15:56:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai0]
USSA > Fri Jul 07 16:15:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai0], reason code=[1]
USSA > Fri Jul 07 16:18:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Fri Jul 07 16:43:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[4]
USSA > Fri Jul 07 16:44:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai4]
USSA > Fri Jul 07 16:54:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai4], reason code=[15]
USSA > Fri Jul 07 16:57:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai0]
USSA > Fri Jul 07 17:08:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai0], reason code=[5]
USSA > Fri Jul 07 17:12:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Fri Jul 07 17:17:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[15]
USSA > Fri Jul 07 17:22:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai0]
USSA > Fri Jul 07 17:25:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai0], reason code=[23]
USSA > Fri Jul 07 17:28:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai0]
USSA > Fri Jul 07 17:41:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai0], reason code=[1]
USSA > Fri Jul 07 17:46:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[rai4]
USSA > Fri Jul 07 18:06:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai4], reason code=[4]
USSA > Fri Jul 07 18:09:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai4]
USSA > Fri Jul 07 18:22:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai4], reason code=[15]
USSA > Fri Jul 07 18:26:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai4]
USSA > Fri Jul 07 18:29:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai4], reason code=[15]
USSA > Fri Jul 07 18:32:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai4]
USSA > Fri Jul 07 18:41:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai4], reason code=[1]
USSA > Fri Jul 07 18:43:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai0]
USSA > Fri Jul 07 18:53:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai0], reason code=[4]
USSA > Fri Jul 07 18:55:00 | NOTICE  | reason=[3], oldCh->newCh=[2]->[4], oldBw->newBw=[80MHz]->[80MHz], oldTxPower->newTxPower=[14.721679]->[15.652386]
USSA > Fri Jul 07 18:56:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai4]
USSA > Fri Jul 07 19:14:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai4], reason code=[4]
USSA > Fri Jul 07 19:18:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai0]
USSA > Fri Jul 07 21:16:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai0], reason code=[1]
USSA > Fri Jul 07 21:17:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] assoc on vap=[rai0]
USSA > Fri Jul 07 21:44:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] disassoc on vap=[rai0], reason code=[3]
USSA > Fri Jul 07 21:46:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai0]
USSA > Fri Jul 07 21:52:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai0], reason code=[3]
USSA > Fri Jul 07 21:54:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] assoc on vap=[rai0]
USSA > Fri Jul 07 22:21:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] disassoc on vap=[rai0], reason code=[5]
USSA > Fri Jul 07 22:23:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai0]
USSA > Fri Jul 07 22:36:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai0], reason code=[23]
USSA > Fri Jul 07 22:39:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai0]
USSA > Fri Jul 07 23:19:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai0], reason code=[4]
USSA > Fri Jul 07 23:24:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai0]
USSA > Fri Jul 07 23:45:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai0], reason code=[4]
USSA > Fri Jul 07 23:49:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai0]
USSA > Fri Jul 07 23:56:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai0], reason code=[3]
USSA > Fri Jul 07 23:58:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai4]
USSA > Sat Jul 08 00:18:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai4], reason code=[4]
USSA > Sat Jul 08 00:23:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai0]
USSA > Sat Jul 08 00:35:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai0], reason code=[3]
USSA > Sat Jul 08 00:37:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai4]
USSA > Sat Jul 08 01:03:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai4], reason code=[4]
USSA > Sat Jul 08 01:04:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai0]
USSA > Sat Jul 08 01:15:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai0], reason code=[15]
USSA > Sat Jul 08 01:19:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[rai4]
USSA > Sat Jul 08 01:39:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai4], reason code=[3]
USSA > Sat Jul 08 01:44:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai0]
USSA > Sat Jul 08 02:05:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai0], reason code=[4]
USSA > Sat Jul 08 02:09:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai0]
USSA > Sat Jul 08 02:24:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai0], reason code=[1]
USSA > Sat Jul 08 02:25:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Sat Jul 08 02:47:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[3]
USSA > Sat Jul 08 02:48:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai0]
USSA > Sat Jul 08 02:56:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai0], reason code=[5]
USSA > Sat Jul 08 02:58:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai0]
USSA > Sat Jul 08 04:09:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai0], reason code=[3]
USSA > Sat Jul 08 04:12:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai0]
USSA > Sat Jul 08 04:19:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai0], reason code=[1]
USSA > Sat Jul 08 04:23:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Sat Jul 08 04:37:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[1]
USSA > Sat Jul 08 04:38:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai0]
USSA > Sat Jul 08 04:41:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai0], reason code=[15]
USSA > Sat Jul 08 04:42:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai0]
USSA > Sat Jul 08 04:59:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai0], reason code=[3]
USSA > Sat Jul 08 05:04:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] assoc on vap=[rai4]
USSA > Sat Jul 08 05:32:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] disassoc on vap=[rai4], reason code=[4]
USSA > Sat Jul 08 05:36:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai4]
USSA > Sat Jul 08 05:39:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai4], reason code=[1]
USSA > Sat Jul 08 05:44:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai0]
USSA > Sat Jul 08 07:08:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai0], reason code=[4]
USSA > Sat Jul 08 07:12:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] assoc on vap=[rai0]
USSA > Sat Jul 08 07:19:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] disassoc on vap=[rai0], reason code=[3]
USSA > Sat Jul 08 07:20:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] assoc on vap=[rai0]
USSA > Sat Jul 08 07:49:00 | NOTICE  | reported client=[d6:99:0f:58:6c:79] disassoc on vap=[rai0], reason code=[3]
USSA > Sat Jul 08 07:53:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai4]
USSA > Sat Jul 08 08:01:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai4], reason code=[3]
USSA > Sat Jul 08 08:06:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai0]
USSA > Sat Jul 08 08:16:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai0], reason code=[23]
USSA > Sat Jul 08 08:21:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] assoc on vap=[rai0]
USSA > Sat Jul 08 10:01:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] disassoc on vap=[rai0], reason code=[1]
USSA > Sat Jul 08 10:06:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai4]
USSA > Sat Jul 08 12:01:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai4], reason code=[3]
USSA > Sat Jul 08 12:05:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai4]
USSA > Sat Jul 08 12:33:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai4], reason code=[1]
USSA > Sat Jul 08 12:37:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] assoc on vap=[rai4]
USSA > Sat Jul 08 13:04:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] disassoc on vap=[rai4], reason code=[4]
USSA > Sat Jul 08 13:09:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] assoc on vap=[rai0]
USSA > Sat Jul 08 14:10:00 | NOTICE  | reported client=[bc:d1:77:e4:58:a3] disassoc on vap=[rai0], reason code=[3]
USSA > Sat Jul 08 14:15:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai4]
USSA > Sat Jul 08 14:39:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai4], reason code=[4]
USSA > Sat Jul 08 14:41:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai0]
USSA > Sat Jul 08 15:02:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai0], reason code=[3]
USSA > Sat Jul 08 15:05:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai0]
USSA > Sat Jul 08 15:11:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai0], reason code=[23]
USSA > Sat Jul 08 15:12:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] assoc on vap=[rai0]
USSA > Sat Jul 08 15:39:00 | NOTICE  | reported client=[a2:c4:7f:38:21:9b] disassoc on vap=[rai0], reason code=[3]
USSA > Sat Jul 08 15:40:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] assoc on vap=[rai4]
USSA > Sat Jul 08 16:06:00 | NOTICE  | reported client=[4c:79:6e:de:4d:1f] disassoc on vap=[rai4], reason code=[5]
USSA > Sat Jul 08 16:08:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai0]
USSA > Sat Jul 08 16:30:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] disassoc on vap=[rai0], reason code=[3]
USSA > Sat Jul 08 16:33:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] assoc on vap=[rai0]
USSA > Sat Jul 08 16:49:00 | NOTICE  | reported client=[2e:55:b9:42:06:aa] disassoc on vap=[rai0], reason code=[15]
USSA > Sat Jul 08 16:50:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] assoc on vap=[rai4]
USSA > Sat Jul 08 17:03:00 | NOTICE  | reported client=[f8:e6:1a:57:02:45] disassoc on vap=[rai4], reason code=[15]
USSA > Sat Jul 08 17:07:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai4]
USSA > Sat Jul 08 17:24:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai4], reason code=[23]
USSA > Sat Jul 08 17:25:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] assoc on vap=[rai0]
USSA > Sat Jul 08 17:32:00 | NOTICE  | reported client=[7g:8h:9i:0j:1k:2l] disassoc on vap=[rai0], reason code=[23]
USSA > Sat Jul 08 17:35:00 | NOTICE  | reported client=[1a:2b:3c:4d:5e:6f] assoc on vap=[rai0]
